Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-05-18,30.56,31.04,30.4362,30.75,8454169.0,0.0,1.0,28.878896470865,29.332491703391,28.761906700476,29.05844458374,8454169.0
2016-05-19,30.51,30.68,30.17,30.32,10142160.0,0.0,1.0,28.831646967477,28.992295278996,28.510350344437,28.652098854601,10142160.0
2016-05-20,30.51,30.79,30.4,30.57,7735485.0,0.0,1.0,28.831646967477,29.09624418645,28.727698060023,28.888346371542,7735485.0
2016-05-23,30.5,30.63,30.345,30.59,6698932.0,0.0,1.0,28.822197066799,28.945045775608,28.675723606295,28.907246172898,6698932.0
2016-05-24,30.65,31.08,30.62,31.05,8743126.0,0.0,1.0,28.963945576963,29.370291306102,28.935595874931,29.341941604069,8743126.0
2016-05-25,31.19,31.77,31.12,31.65,10152219.0,0.0,1.0,29.474240213556,30.022334452859,29.408090908813,29.908935644727,10152219.0
2016-05-26,31.65,31.75,31.18,31.29,6747686.0,0.0,1.0,29.908935644727,30.003434651504,29.464790312878,29.568739220332,6747686.0
2016-05-27,31.31,31.64,31.26,31.39,6089666.0,0.0,1.0,29.587639021688,29.89948574405,29.540389518299,29.663238227109,6089666.0
2016-05-31,31.54,31.62,31.13,31.28,11803307.0,0.0,1.0,29.804986737273,29.880585942694,29.41754080949,29.559289319655,11803307.0
2016-06-01,31.15,31.15,29.87,30.22,25997421.0,0.0,1.0,29.436440610845,29.436440610845,28.226853324108,28.557599847825,25997421.0
2016-06-02,30.13,30.46,30.05,30.26,12649256.0,0.0,1.0,28.472550741726,28.784397464088,28.396951536305,28.595399450536,12649256.0
2016-06-03,30.09,30.15,29.51,29.6,18547375.0,0.0,1.0,28.434751139016,28.491450543082,27.886656899713,27.971706005811,18547375.0
2016-06-06,29.85,30.04,29.72,29.99,10985050.0,0.0,1.0,28.207953522752,28.387501635628,28.085104813943,28.340252132239,10985050.0
2016-06-07,30.16,30.38,29.95,30.23,14425689.0,0.0,1.0,28.500900443759,28.708798258667,28.302452529529,28.567049748503,14425689.0
2016-06-08,30.0,30.03,29.52,29.57,12990855.0,0.38,1.0,28.714020151703,28.742734171855,28.254595829276,28.302452529529,12990855.0
2016-06-09,29.48,29.5,29.155,29.36,11907119.0,0.0,1.0,28.216310469074,28.235453149175,27.90524191743,28.101454388467,11907119.0
2016-06-10,29.22,29.34,28.98,29.06,10740357.0,0.0,1.0,27.967455627759,28.082311708366,27.737743466545,27.81431418695,10740357.0
2016-06-13,28.85,29.4,28.8,29.08,13871284.0,0.0,1.0,27.613316045888,28.139739748669,27.565459345635,27.833456867051,13871284.0
2016-06-14,29.07,29.31,28.65,28.83,10751572.0,0.0,1.0,27.823885527,28.053597688214,27.421889244877,27.594173365787,10751572.0
2016-06-15,28.98,29.22,28.79,28.86,8479845.0,0.0,1.0,27.737743466545,27.967455627759,27.555888005584,27.622887385938,8479845.0
2016-06-16,28.67,29.07,28.5,29.02,9654391.0,0.0,1.0,27.441031924978,27.823885527,27.278319144118,27.776028826748,9654391.0
2016-06-17,29.14,29.43,29.06,29.23,12707391.0,0.0,1.0,27.890884907354,28.168453768821,27.81431418695,27.977026967809,12707391.0
2016-06-20,29.62,30.03,29.59,29.65,12329065.0,0.0,1.0,28.350309229782,28.742734171855,28.32159520963,28.379023249933,12329065.0
2016-06-21,29.64,29.77,29.43,29.51,10317860.0,0.0,1.0,28.369451909883,28.49387933054,28.168453768821,28.245024489225,10317860.0
2016-06-22,29.34,29.59,29.27,29.32,8714079.0,0.0,1.0,28.082311708366,28.32159520963,28.015312328012,28.063169028265,8714079.0
2016-06-23,29.59,29.85,29.55,29.82,9589520.0,0.0,1.0,28.32159520963,28.570450050945,28.283309849428,28.541736030793,9589520.0
2016-06-24,28.58,29.04,28.25,28.35,30176942.0,0.0,1.0,27.354889864523,27.795171506849,27.039035642854,27.134749043359,30176942.0
2016-06-27,28.09,28.1,27.34,27.51,18645156.0,0.0,1.0,26.885894202045,26.895465542095,26.168043698252,26.330756479112,18645156.0
2016-06-28,27.93,27.98,27.4,27.74,14060960.0,0.0,1.0,26.732752761236,26.780609461488,26.225471738556,26.550897300275,14060960.0
2016-06-29,28.0,28.2,27.6,28.17,10644071.0,0.0,1.0,26.79975214159,26.991178942601,26.416898539567,26.962464922449,10644071.0
2016-06-30,28.18,29.66,27.7,28.3,15360601.0,0.0,1.0,26.9720362625,28.388594589984,26.512611940073,27.086892343107,15360601.0
2016-07-01,28.69,28.98,28.36,28.89,15156343.0,0.0,1.0,27.460174605079,27.737743466545,27.14432038341,27.65160140609,15156343.0
2016-07-05,28.64,28.68,28.04,28.17,12174286.0,0.0,1.0,27.412317904826,27.450603265028,26.838037501792,26.962464922449,12174286.0
2016-07-06,28.0,28.41,27.52,28.4,14630399.0,0.0,1.0,26.79975214159,27.192177083663,26.340327819162,27.182605743612,14630399.0
2016-07-07,28.49,29.055,28.42,28.74,10842314.0,0.0,1.0,27.268747804067,27.809528516925,27.201748423713,27.508031305332,10842314.0
2016-07-08,29.27,29.87,29.27,29.66,16659407.0,0.0,1.0,28.015312328012,28.589592731046,28.015312328012,28.388594589984,16659407.0
2016-07-11,29.79,30.27,29.74,30.13,13870121.0,0.0,1.0,28.513022010641,28.972446333068,28.465165310388,28.838447572361,13870121.0
2016-07-12,30.45,30.85,30.39,30.6,16787602.0,0.0,1.0,29.144730453979,29.527584056001,29.087302413675,29.288300554737,16787602.0
2016-07-13,30.63,30.69,30.22,30.63,13298372.0,0.0,1.0,29.317014574889,29.374442615192,28.924589632816,29.317014574889,13298372.0
2016-07-14,30.88,31.05,30.6,30.76,11302476.0,0.0,1.0,29.556298076153,29.719010857013,29.288300554737,29.441441995546,11302476.0
2016-07-15,30.82,30.98,30.57,30.77,8423965.0,0.0,1.0,29.49887003585,29.652011476659,29.259586534586,29.451013335597,8423965.0
2016-07-18,30.75,31.1,30.61,30.87,8732227.0,0.0,1.0,29.431870655496,29.766867557266,29.297871894788,29.546726736103,8732227.0
2016-07-19,30.7,31.27,30.7,31.25,17149291.0,0.0,1.0,29.384013955243,29.929580338125,29.384013955243,29.910437658024,17149291.0
2016-07-20,31.42,31.58,31.07,31.49,20903690.0,0.0,1.0,30.073150438884,30.226291879693,29.738153537114,30.140149819238,20903690.0
2016-07-21,32.56,32.87,31.83,32.03,36290005.0,0.0,1.0,31.164283204649,31.460994746216,30.465575380957,30.657002181968,36290005.0
2016-07-22,32.1,32.24,31.72,32.16,13305449.0,0.0,1.0,30.724001562322,30.85800032303,30.360290640401,30.781429602626,13305449.0
2016-07-25,32.19,32.36,31.96,32.06,11323530.0,0.0,1.0,30.810143622777,30.972856403637,30.590002801614,30.68571620212,11323530.0
2016-07-26,31.98,32.22,31.89,32.15,9457786.0,0.0,1.0,30.609145481716,30.838857642929,30.52300342126,30.771858262575,9457786.0
2016-07-27,32.18,32.29,31.97,32.02,9145890.0,0.0,1.0,30.800572282727,30.905857023283,30.599574141665,30.647430841918,9145890.0
2016-07-28,31.05,31.2,30.65,30.99,20363869.0,0.0,1.0,29.719010857013,29.862580957771,29.33615725499,29.661582816709,20363869.0
2016-07-29,30.79,31.55,30.78,31.54,16150459.0,0.0,1.0,29.470156015698,30.197577859541,29.460584675647,30.188006519491,16150459.0
2016-08-01,31.54,31.62,31.2,31.3,11190647.0,0.0,1.0,30.188006519491,30.264577239895,29.862580957771,29.958294358277,11190647.0
2016-08-02,31.03,31.08,29.82,29.93,24346905.0,0.0,1.0,29.699868176912,29.747724877164,28.541736030793,28.647020771349,24346905.0
2016-08-03,30.0,30.25,29.91,30.24,14503963.0,0.0,1.0,28.714020151703,28.953303652967,28.627878091248,28.943732312917,14503963.0
