date,close
2015-10-13,33.13
2015-10-14,33.33
2015-10-15,33.32
2015-10-16,33.15
2015-10-19,33.24
2015-10-20,33.48
2015-10-21,35.42
2015-10-22,35.42
2015-10-23,35.95
2015-10-26,35.67
2015-10-27,34.97
2015-10-28,35.22
2015-10-29,34.75
2015-10-30,34.91
2015-11-02,35.57
2015-11-03,35.78
2015-11-04,35.42
2015-11-05,35.44
2015-11-06,35.75
2015-11-09,35.67
2015-11-10,35.62
2015-11-11,35.55
2015-11-12,35.09
2015-11-13,34.31
2015-11-16,35.17
2015-11-17,35.21
2015-11-18,36.46
2015-11-19,36.14
2015-11-20,36.34
2015-11-23,36.08
2015-11-24,36.22
2015-11-25,36.34
2015-11-27,36.37
2015-11-30,36.2
2015-12-01,36.26
2015-12-02,35.73
2015-12-03,35.47
2015-12-04,36.25
2015-12-07,36.13
2015-12-08,35.48
2015-12-09,35.45
2015-12-10,35.63
2015-12-11,34.55
2015-12-14,34.39
2015-12-15,34.54
2015-12-16,35.14
